129,138,147,156,165,174,183,192,201,0,0,0,0,0,0,0,0,0,0,0
118,127,136,145,154,163,172,181,190,199,0,0,0,0,0,0,0,0,0,0
107,116,125,134,143,152,161,170,179,188,197,0,0,0,0,0,0,0,0,0
96,105,114,123,132,141,150,159,168,177,186,197,0,0,0,0,0,0,0,0
85,94,103,112,121,130,139,148,157,166,175,186,197,0,0,0,0,0,0,0
74,83,92,101,110,119,128,137,146,155,164,175,186,197,0,0,0,0,0,0
63,72,81,90,99,108,117,126,135,144,153,164,175,186,197,0,0,0,0,0
52,61,70,79,88,97,106,115,124,133,142,153,164,175,186,197,0,0,0,0
41,50,59,68,77,86,95,104,113,122,131,142,153,164,175,186,197,0,0,0
30,39,48,57,66,75,84,93,102,111,120,131,142,153,164,175,186,197,0,0
0,28,37,46,55,64,73,82,91,100,109,120,131,142,153,164,175,186,197,0
28,37,46,55,64,73,82,91,100,109,118,129,140,151,162,173,184,195,0,0
37,46,55,64,73,82,91,100,109,118,127,138,149,160,171,182,193,0,0,0
46,55,64,73,82,91,100,109,118,127,136,147,158,169,180,191,0,0,0,0
55,64,73,82,91,100,109,118,127,136,145,156,167,178,189,200,0,0,0,0
64,73,82,91,100,109,118,127,136,145,154,165,176,187,198,0,0,0,0,0
73,82,91,100,109,118,127,136,145,154,163,174,185,196,0,0,0,0,0,0
82,91,100,109,118,127,136,145,154,163,172,183,194,0,0,0,0,0,0,0
91,100,109,118,127,136,145,154,163,172,181,192,0,0,0,0,0,0,0,0
100,109,118,127,136,145,154,163,172,181,190,0,0,0,0,0,0,0,0,0
