0,0,0,0,0,0,0,0,0,0,500,491,482,473,484,495,506,497,508,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,502,491,482,473,464,475,486,497,488,499,510,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,504,493,482,473,464,455,466,477,488,479,490,501,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,506,495,484,473,464,455,446,457,468,479,470,481,492,503,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,508,497,486,475,464,455,446,437,448,459,470,461,472,483,494,505,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,466,455,446,437,428,439,450,461,452,463,474,485,496,507,0,0,0,0,0,0,0
176,165,154,143,132,0,0,0,0,0,0,0,428,419,430,441,452,443,454,465,476,487,498,509,0,0,0,0,0,0
167,156,145,134,123,112,121,110,0,0,0,0,419,410,421,432,443,434,445,456,467,478,489,500,0,0,0,0,0,0
158,147,136,125,114,103,112,101,90,0,0,419,410,401,412,423,434,425,436,447,458,469,480,491,502,0,0,0,0,0
149,138,127,116,105,94,103,92,81,0,0,0,401,392,403,414,425,416,427,438,449,460,471,482,493,504,0,0,0,0
140,129,118,107,96,85,94,83,72,81,0,0,392,383,394,405,416,407,418,429,440,451,462,473,484,495,506,0,0,0
131,120,109,98,87,76,85,74,63,72,0,0,383,374,385,396,407,398,409,420,431,442,453,464,475,486,497,508,0,0
122,111,100,89,78,67,0,0,54,63,0,0,0,365,376,387,398,389,400,411,422,433,444,455,466,477,488,499,510,0
113,102,91,80,69,58,0,0,45,54,63,0,0,356,367,378,389,380,391,402,413,424,435,446,457,468,479,490,501,0
104,93,82,71,60,49,38,27,36,45,0,0,0,347,358,369,380,371,382,393,404,415,426,437,448,459,470,481,492,503
115,34,43,82,71,60,79,88,97,56,0,0,327,338,349,350,361,362,373,384,395,406,417,428,439,450,461,472,483,494
126,45,54,93,82,71,90,99,108,0,0,0,318,329,340,341,352,353,364,375,386,397,408,419,430,441,452,463,474,485
137,56,65,74,93,82,91,100,109,0,0,318,309,320,321,332,343,344,355,366,377,388,399,410,421,432,443,454,465,476
148,157,76,85,94,93,102,111,120,0,0,309,300,311,312,323,324,335,346,357,368,379,390,401,412,423,434,445,456,467
159,168,87,96,105,104,113,122,131,0,0,300,291,292,303,314,315,326,337,348,359,370,381,392,403,414,425,436,447,458
170,179,188,107,116,115,124,133,0,0,0,291,282,283,294,305,306,317,328,339,350,361,372,383,394,405,416,427,438,449
181,190,109,118,137,126,135,144,0,0,0,282,273,264,275,286,297,308,319,330,341,352,363,374,385,396,407,418,429,440
192,201,120,129,148,137,146,155,0,0,0,243,254,255,266,277,288,299,310,321,332,343,354,365,376,387,398,409,420,431
203,212,131,140,159,148,157,166,0,0,223,234,245,246,257,278,289,300,321,332,343,354,365,376,387,398,409,420,431,442
214,203,192,181,170,159,168,177,186,195,204,215,226,237,248,269,280,291,332,343,354,365,376,387,398,409,420,431,442,453
225,214,203,192,181,170,179,188,197,206,215,226,237,248,259,280,291,312,323,334,345,356,367,378,389,400,411,422,433,444
236,225,214,203,192,181,190,199,208,217,226,237,248,259,270,281,292,303,314,325,336,347,358,369,380,391,402,413,424,435
247,236,225,214,203,192,201,210,219,228,237,248,259,270,281,292,303,314,325,336,347,358,369,380,391,402,413,424,435,446
258,247,236,225,214,203,212,221,230,239,248,259,270,281,292,303,314,325,336,347,358,369,380,391,402,413,424,435,446,457
269,258,247,236,225,214,223,232,241,250,259,270,281,292,303,314,325,336,347,358,369,380,391,402,413,424,435,446,457,468
